gmdn,emdn,deviceproblem,patientproblem
16584,K0199,A04,F26
16584,K0199,A05,F26
16584,K0199,A24,E23
16763,K0107,A09,E24
16779,H900304,A04,E24
16779,H900304,A05,E24
16779,H900304,A14,E24
16779,H900304,A14,F26
16849,H900303,A05,E24
16849,H900303,A07,E24
16849,H900303,A09,E24
16849,H900303,A14,E24
16849,H900303,A19,E24
16977,H90020103,A04,E24
16977,H90020103,A04,F26
16977,H90020103,A05,F26
16977,H90020103,A07,E24
16977,H90020103,A07,F26
16977,H90020103,A07,F27
16977,H90020103,A09,E24
16977,H90020103,A09,F26
16977,H90020103,A09,F27
16977,H90020103,A12,F26
16977,H90020103,A14,E01
16977,H90020103,A14,E03
16977,H90020103,A14,E05
16977,H90020103,A14,E06
16977,H90020103,A14,E13
16977,H90020103,A14,E23
16977,H90020103,A14,E24
16977,H90020103,A14,F02
16977,H90020103,A16,F26
16977,H90020103,A24,E01
16977,H90020103,A24,E03
16977,H90020103,A24,E05
16977,H90020103,A24,E06
16977,H90020103,A24,E07
16977,H90020103,A24,E19
16977,H90020103,A24,E23
16977,H90020103,A24,E24
16977,H90020103,A24,F02
17115,H900303,A10,E24
17184,C0104020299,A02,E24
17184,C0104020299,A04,E05
17184,C0104020299,A04,E20
17184,C0104020299,A04,E24
17184,C0104020299,A04,F26
17184,C0104020299,A04,F27
17184,C0104020299,A05,E20
17184,C0104020299,A05,E24
17184,C0104020299,A05,F26
17184,C0104020299,A05,F27
17184,C0104020299,A14,E24
17184,C0104020299,A14,F26
17184,C0104020299,A15,E20
17184,C0104020299,A15,E24
17184,C0104020299,A15,F26
17184,C0104020299,A17,E24
17184,C0104020299,A23,E24
17184,C0104020299,A23,F26
17184,C0104020299,A24,E05
17202,L250301,A24,E10
17202,L250301,A24,E23
17471,B0399,A02,E24
17471,B0399,A04,E23
17471,B0399,A04,E24
17471,B0399,A04,F26
17471,B0399,A24,E23
17541,B0399,A04,E24
17541,B0399,A05,E24
17541,B0399,A05,F26
17541,B0399,A09,F26
17541,B0399,A12,E24
17541,B0399,A14,E24
17541,B0399,A15,E24
17541,B0399,A24,E06
17541,B0399,A26,E24
17596,H900303,A07,E24
17596,H900303,A14,E24
17605,L26,A10,E24
17643,L0102,A04,E24
17643,L0102,A05,E24
17643,L0102,A14,E24
17662,L26,A04,E24
17662,L26,A09,E24
17662,L26,A13,E24
17662,L26,A18,E19
17662,L26,A18,E24
17663,L26,A04,E24
17663,L26,A05,E24
17663,L26,A06,E24
17663,L26,A09,E24
17663,L26,A14,E24
17702,C04020299,A24,E08
17846,K0199,A02,E24
17846,K0199,A02,F27
17846,K0199,A04,E20
17846,K0199,A04,E24
17846,K0199,A04,F26
17846,K0199,A04,F27
17846,K0199,A05,E24
17846,K0199,A05,F26
17846,K0199,A05,F27
17846,K0199,A15,E24
17846,K0199,A15,F26
17846,K0199,A24,E05
17846,K0199,A24,E06
17846,K0199,A24,E21
17846,K0199,A24,E23
17882,L26,A07,E06
17882,L26,A07,E24
17882,L26,A07,F26
17882,L26,A07,F27
17882,L26,A09,E24
17882,L26,A09,F26
17882,L26,A09,F27
17882,L26,A12,E24
17882,L26,A15,E24
17882,L26,A16,E24
17882,L26,A16,F27
17887,M03030203,A10,E24
18034,A010506,A02,E24
18034,A010506,A04,E24
18034,A010506,A05,E24
18034,A010506,A07,E24
18034,A010506,A09,E24
18034,A010506,A09,F26
18034,A010506,A09,F27
18034,A010506,A12,E24
18034,A010506,A13,E24
18034,A010506,A15,E24
18111,L0206,A07,E24
18111,L0206,A09,E01
18111,L0206,A09,E24
30205,A019013,A09,E10
30205,A019013,A09,E23
30854,W02069003,A09,E01
30854,W02069003,A09,E02
30854,W02069003,A09,E12
30854,W02069003,A09,E23
31048,H900302,A05,E24
31048,H900302,A05,F26
31048,H900302,A05,F27
31048,H900302,A07,E24
31119,L26,A04,E20
31321,H90020103,A09,E24
31328,A019013,A14,F27
31328,A019013,A23,E24
31339,M03030203,A04,E24
31339,M03030203,A04,F27
31339,M03030203,A05,E24
31339,M03030203,A05,F27
31339,M03030203,A07,E24
31339,M03030203,A07,F27
31339,M03030203,A08,E24
31339,M03030203,A08,F27
31339,M03030203,A09,E24
31339,M03030203,A09,F27
31339,M03030203,A11,E24
31339,M03030203,A11,F27
31339,M03030203,A12,E24
31339,M03030203,A12,F27
31339,M03030203,A13,E24
31339,M03030203,A13,F27
31339,M03030203,A16,E24
31339,M03030203,A16,F27
31339,M03030203,A18,E24
31339,M03030203,A18,F27
31339,M03030203,A25,E24
31339,M03030203,A25,F27
31339,M03030203,A26,E24
31339,M03030203,A27,E24
31339,M03030203,A27,F27
31658,A019013,A09,F26
31714,C04020299,A08,E24
31714,C04020299,A09,E24
31714,C04020299,A09,F26
32312,H900303,A04,E24
32390,L26,A02,F26
32390,L26,A04,E20
32390,L26,A04,E24
32390,L26,A04,F26
32390,L26,A05,E24
32390,L26,A15,E24
32579,C04020299,A05,E24
32584,B0399,A04,E24
32584,B0399,A04,F26
32678,A019013,A01,E01
32678,A019013,A01,E02
32678,A019013,A01,E04
32678,A019013,A01,E05
32678,A019013,A01,E10
32678,A019013,A01,E12
32678,A019013,A01,E14
32678,A019013,A01,E15
32678,A019013,A01,E16
32678,A019013,A01,E17
32678,A019013,A01,E20
32678,A019013,A01,E21
32678,A019013,A01,E23
32678,A019013,A01,E24
32678,A019013,A04,E05
32678,A019013,A04,E10
32678,A019013,A04,E14
32678,A019013,A04,E15
32678,A019013,A04,E20
32678,A019013,A04,E21
32678,A019013,A04,E23
32678,A019013,A04,E24
32678,A019013,A05,E05
32678,A019013,A05,E10
32678,A019013,A05,E14
32678,A019013,A05,E15
32678,A019013,A05,E20
32678,A019013,A05,E21
32678,A019013,A05,E23
32678,A019013,A05,E24
32678,A019013,A15,E14
32678,A019013,A15,E20
32678,A019013,A15,E23
32678,A019013,A24,E01
32678,A019013,A24,E02
32678,A019013,A24,E04
32678,A019013,A24,E05
32678,A019013,A24,E10
32678,A019013,A24,E12
32678,A019013,A24,E13
32678,A019013,A24,E14
32678,A019013,A24,E15
32678,A019013,A24,E16
32678,A019013,A24,E17
32678,A019013,A24,E19
32678,A019013,A24,E20
32678,A019013,A24,E21
32678,A019013,A24,E23
32678,A019013,A24,E24
32678,A019013,A26,E04
32678,A019013,A26,E05
32678,A019013,A26,E10
32678,A019013,A26,E14
32678,A019013,A26,E15
32678,A019013,A26,E20
32678,A019013,A26,E21
32678,A019013,A26,E23
32678,A019013,A26,E24
32678,A019013,A27,E10
32678,A019013,A27,E14
32678,A019013,A27,E20
32678,A019013,A27,E23
32678,A019013,A27,E24
32831,L26,A01,E16
32831,L26,A01,E21
32831,L26,A01,E23
32831,L26,A02,E24
32831,L26,A02,F26
32831,L26,A04,E16
32831,L26,A04,E21
32831,L26,A04,E23
32831,L26,A04,E24
32831,L26,A05,E16
32831,L26,A05,E23
32831,L26,A15,E23
32831,L26,A24,E04
32831,L26,A24,E05
32831,L26,A24,E16
32831,L26,A24,E17
32831,L26,A24,E19
32831,L26,A24,E20
32831,L26,A24,E21
32831,L26,A24,E23
32831,L26,A24,E24
32831,L26,A26,E16
32831,L26,A26,E19
32831,L26,A26,E23
32831,L26,A27,E19
32832,L26,A01,E16
32832,L26,A01,E21
32832,L26,A01,E23
32832,L26,A01,E24
32832,L26,A02,E24
32832,L26,A04,E16
32832,L26,A04,E19
32832,L26,A04,E20
32832,L26,A04,E21
32832,L26,A04,E23
32832,L26,A04,E24
32832,L26,A04,F26
32832,L26,A05,E16
32832,L26,A05,E23
32832,L26,A12,E23
32832,L26,A15,E23
32832,L26,A18,E24
32832,L26,A23,E24
32832,L26,A24,E05
32832,L26,A24,E16
32832,L26,A24,E17
32832,L26,A24,E19
32832,L26,A24,E20
32832,L26,A24,E21
32832,L26,A24,E23
32832,L26,A24,E24
32832,L26,A26,E16
32832,L26,A26,E19
32832,L26,A26,E23
32832,L26,A27,E23
32845,L0104080101,A04,E24
32845,L0104080101,A04,F26
32845,L0104080101,A04,F27
32848,C010103,A02,F26
32848,C010103,A04,E24
32848,C010103,A04,F26
32848,C010103,A05,E24
32848,C010103,A05,F26
32848,C010103,A24,E24
32848,C010103,A27,F26
32854,H900304,A04,E20
32856,L0104110101,A01,E16
32856,L0104110101,A01,E21
32856,L0104110101,A01,E23
32856,L0104110101,A02,F26
32856,L0104110101,A04,E20
32856,L0104110101,A04,E24
32856,L0104110101,A04,F26
32856,L0104110101,A04,F27
32856,L0104110101,A05,E24
32856,L0104110101,A05,F26
32856,L0104110101,A12,E24
32856,L0104110101,A12,F26
32856,L0104110101,A17,E24
32856,L0104110101,A17,F26
32856,L0104110101,A24,E16
32856,L0104110101,A24,E21
32856,L0104110101,A24,E23
32856,L0104110101,A26,E23
32856,L0104110101,A27,E21
32856,L0104110101,A27,E23
32856,L0104110101,A27,F26
32865,L0102,A04,E20
32865,L0102,A04,E24
32865,L0102,A04,F26
32865,L0102,A17,E24
32871,A019013,A04,E24
32871,A019013,A04,F26
32871,A019013,A17,F26
33000,A019013,A05,E24
33000,A019013,A05,F27
33000,A019013,A07,E24
33000,A019013,A07,F27
33175,L26,A01,E16
33175,L26,A01,E23
33175,L26,A04,E02
33175,L26,A04,E04
33175,L26,A04,E16
33175,L26,A04,E17
33175,L26,A04,E20
33175,L26,A04,E21
33175,L26,A04,E23
33175,L26,A04,E24
33175,L26,A05,E16
33175,L26,A05,E19
33175,L26,A05,E20
33175,L26,A05,E21
33175,L26,A05,E23
33175,L26,A05,E24
33175,L26,A24,E04
33175,L26,A24,E05
33175,L26,A24,E16
33175,L26,A24,E17
33175,L26,A24,E19
33175,L26,A24,E20
33175,L26,A24,E21
33175,L26,A24,E23
33175,L26,A24,E24
33175,L26,A26,E16
33175,L26,A26,E19
33175,L26,A26,E23
33175,L26,A27,E16
33175,L26,A27,E23
33187,A019013,A04,E16
33187,A019013,A04,E21
33187,A019013,A04,E23
33187,A019013,A24,E16
33187,A019013,A27,F02
33317,V0905,A05,E24
33317,V0905,A07,E24
33317,V0905,A09,E24
33317,V0905,A14,E24
33317,V0905,A16,E24
33317,V0905,A26,E24
33369,A010506,A24,E23
33541,C04020299,A04,E24
33541,C04020299,A04,F27
33541,C04020299,A05,E24
33541,C04020299,A05,F26
33541,C04020299,A05,F27
33541,C04020299,A07,E24
33541,C04020299,A07,F26
33541,C04020299,A07,F27
33541,C04020299,A09,E24
33541,C04020299,A09,F26
33541,C04020299,A10,E17
33541,C04020299,A10,E24
33541,C04020299,A10,F26
33541,C04020299,A10,F27
33541,C04020299,A16,E24
33541,C04020299,A16,F26
33541,C04020299,A16,F27
33541,C04020299,A27,E24
33580,C010103,A04,E16
33580,C010103,A04,E21
33580,C010103,A04,E23
33580,C010103,A04,E24
33580,C010103,A12,E24
33580,C010103,A15,E24
33580,C010103,A24,E16
33580,C010103,A24,E19
33580,C010103,A24,E21
33580,C010103,A24,E23
33580,C010103,A24,E24
33580,C010103,A26,E19
33580,C010103,A26,E23
33581,L26,A01,E16
33581,L26,A01,E19
33581,L26,A01,E20
33581,L26,A01,E23
33581,L26,A02,E24
33581,L26,A04,E16
33581,L26,A04,E20
33581,L26,A04,E21
